index,host_identity_verified,instant_bookable,price,service_fee,minimum_nights,review_rate_number,boro_bronx,boro_brooklyn,boro_manhattan,boro_queens,boro_staten,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,room_type_entire,room_type_hotelr,room_type_privater,room_type_sharedr
0,True,False,142.0,28.0,30.0,4.0,False,False,True,False,False,False,True,False,True,False,False,False
5,True,True,1020.0,204.0,1.0,3.0,False,True,False,False,False,False,False,True,False,False,True,False
6,True,False,646.0,129.0,30.0,1.0,False,False,True,False,False,False,False,True,False,False,True,False
8,True,False,909.0,182.0,5.0,4.0,False,False,True,False,False,False,True,False,True,False,False,False
12,True,True,523.0,105.0,7.0,5.0,False,False,True,False,False,True,False,False,True,False,False,False
13,False,False,571.0,114.0,5.0,4.0,False,False,True,False,False,False,False,True,True,False,False,False
20,False,True,370.0,74.0,2.0,5.0,False,False,True,False,False,False,True,False,False,False,True,False
26,False,False,460.0,92.0,14.0,1.0,False,False,True,False,False,True,False,False,False,False,True,False
28,True,True,220.0,44.0,1.0,5.0,False,False,True,False,False,False,False,True,False,False,True,False
29,False,True,1133.0,227.0,2.0,3.0,False,False,False,True,False,False,True,False,True,False,False,False
30,False,True,316.0,63.0,2.0,2.0,False,True,False,False,False,False,False,True,True,False,False,False
31,False,True,656.0,131.0,14.0,5.0,False,False,False,True,False,False,False,True,True,False,False,False
36,True,True,643.0,129.0,2.0,1.0,True,False,False,False,False,False,True,False,False,False,True,False
39,False,False,679.0,136.0,3.0,2.0,False,True,False,False,False,True,False,False,False,False,True,False
40,False,True,725.0,145.0,14.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
43,True,True,933.0,187.0,30.0,5.0,False,True,False,False,False,True,False,False,True,False,False,False
44,True,True,69.0,14.0,2.0,3.0,False,False,True,False,False,False,False,True,True,False,False,False
45,True,False,1034.0,207.0,3.0,5.0,False,True,False,False,False,False,False,True,False,False,True,False
46,False,False,332.0,66.0,5.0,3.0,False,True,False,False,False,True,False,False,True,False,False,False
47,True,False,1142.0,228.0,3455.0,1.0,False,True,False,False,False,True,False,False,True,False,False,False
49,False,True,121.0,24.0,2.0,4.0,False,False,True,False,False,False,True,False,False,False,True,False
51,True,True,1123.0,225.0,4.0,1.0,False,False,True,False,False,False,False,True,True,False,False,False
52,True,True,716.0,143.0,2.0,3.0,False,True,False,False,False,True,False,False,True,False,False,False
54,False,False,910.0,182.0,1.0,1.0,False,False,True,False,False,True,False,False,False,False,False,True
55,False,True,727.0,145.0,2.0,5.0,False,False,True,False,False,False,False,True,False,False,True,False
56,True,False,510.0,102.0,5.0,1.0,False,True,False,False,False,False,False,True,True,False,False,False
57,True,False,1166.0,233.0,4.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
58,False,True,765.0,153.0,30.0,1.0,False,False,True,False,False,True,False,False,True,False,False,False
59,False,False,260.0,52.0,1.0,3.0,False,False,True,False,False,False,True,False,True,False,False,False
61,False,True,792.0,158.0,5.0,1.0,False,False,True,False,False,False,True,False,True,False,False,False
62,False,True,1012.0,202.0,7.0,4.0,False,False,False,False,True,False,True,False,False,False,True,False
63,False,True,1170.0,234.0,4.0,1.0,False,True,False,False,False,True,False,False,True,False,False,False
64,False,False,436.0,87.0,4.0,1.0,False,False,True,False,False,False,True,False,True,False,False,False
65,True,True,815.0,163.0,6.0,2.0,False,False,True,False,False,False,True,False,False,False,True,False
66,False,True,706.0,141.0,27.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
69,True,False,304.0,61.0,5.0,2.0,False,True,False,False,False,True,False,False,True,False,False,False
70,False,False,946.0,189.0,1.0,4.0,False,False,True,False,False,True,False,False,True,False,False,False
71,True,False,584.0,117.0,3.0,4.0,False,True,False,False,False,True,False,False,False,False,True,False
72,True,True,281.0,56.0,3.0,3.0,False,False,True,False,False,False,False,True,False,False,True,False
74,False,False,759.0,152.0,1.0,3.0,False,False,True,False,False,False,False,True,False,False,True,False
75,False,False,623.0,125.0,21.0,2.0,False,False,True,False,False,False,False,True,False,False,True,False
76,False,True,461.0,92.0,5.0,1.0,False,True,False,False,False,False,True,False,False,False,True,False
77,False,True,382.0,76.0,7.0,3.0,False,False,True,False,False,False,False,True,False,False,True,False
