index,host_identity_verified,boro,instant_bookable,cancellation_policy,room_type,price,service_fee,minimum_nights,review_rate_number
0,True,manhattan,False,moderate,entire,142.0,28.0,30.0,4.0
5,True,brooklyn,True,strict,privater,1020.0,204.0,1.0,3.0
6,True,manhattan,False,strict,privater,646.0,129.0,30.0,1.0
8,True,manhattan,False,moderate,entire,909.0,182.0,5.0,4.0
12,True,manhattan,True,flexible,entire,523.0,105.0,7.0,5.0
13,False,manhattan,False,strict,entire,571.0,114.0,5.0,4.0
20,False,manhattan,True,moderate,privater,370.0,74.0,2.0,5.0
26,False,manhattan,False,flexible,privater,460.0,92.0,14.0,1.0
28,True,manhattan,True,strict,privater,220.0,44.0,1.0,5.0
29,False,queens,True,moderate,entire,1133.0,227.0,2.0,3.0
30,False,brooklyn,True,strict,entire,316.0,63.0,2.0,2.0
31,False,queens,True,strict,entire,656.0,131.0,14.0,5.0
36,True,bronx,True,moderate,privater,643.0,129.0,2.0,1.0
39,False,brooklyn,False,flexible,privater,679.0,136.0,3.0,2.0
40,False,manhattan,True,moderate,entire,725.0,145.0,14.0,5.0
43,True,brooklyn,True,flexible,entire,933.0,187.0,30.0,5.0
44,True,manhattan,True,strict,entire,69.0,14.0,2.0,3.0
45,True,brooklyn,False,strict,privater,1034.0,207.0,3.0,5.0
46,False,brooklyn,False,flexible,entire,332.0,66.0,5.0,3.0
47,True,brooklyn,False,flexible,entire,1142.0,228.0,3455.0,1.0
49,False,manhattan,True,moderate,privater,121.0,24.0,2.0,4.0
51,True,manhattan,True,strict,entire,1123.0,225.0,4.0,1.0
52,True,brooklyn,True,flexible,entire,716.0,143.0,2.0,3.0
54,False,manhattan,False,flexible,sharedr,910.0,182.0,1.0,1.0
55,False,manhattan,True,strict,privater,727.0,145.0,2.0,5.0
56,True,brooklyn,False,strict,entire,510.0,102.0,5.0,1.0
57,True,manhattan,False,moderate,entire,1166.0,233.0,4.0,5.0
58,False,manhattan,True,flexible,entire,765.0,153.0,30.0,1.0
59,False,manhattan,False,moderate,entire,260.0,52.0,1.0,3.0
61,False,manhattan,True,moderate,entire,792.0,158.0,5.0,1.0
62,False,staten,True,moderate,privater,1012.0,202.0,7.0,4.0
63,False,brooklyn,True,flexible,entire,1170.0,234.0,4.0,1.0
64,False,manhattan,False,moderate,entire,436.0,87.0,4.0,1.0
65,True,manhattan,True,moderate,privater,815.0,163.0,6.0,2.0
66,False,manhattan,True,moderate,entire,706.0,141.0,27.0,5.0
69,True,brooklyn,False,flexible,entire,304.0,61.0,5.0,2.0
70,False,manhattan,False,flexible,entire,946.0,189.0,1.0,4.0
71,True,brooklyn,False,flexible,privater,584.0,117.0,3.0,4.0
72,True,manhattan,True,strict,privater,281.0,56.0,3.0,3.0
74,False,manhattan,False,strict,privater,759.0,152.0,1.0,3.0
75,False,manhattan,False,strict,privater,623.0,125.0,21.0,2.0
76,False,brooklyn,True,moderate,privater,461.0,92.0,5.0,1.0
