,id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
0,1189243425411300671,Manhattan,Murray Hill,Entire home/apt,58.0,30,1
1,651593916026998398,Brooklyn,Flatlands,Private room,80.0,30,0
2,310325,Manhattan,Harlem,Private room,75.0,30,31
3,572612125615500056,Brooklyn,Sunset Park,Private room,45.0,30,6
4,1020282701018874374,Brooklyn,Bedford-Stuyvesant,Private room,47.0,30,0
5,640443472855597440,Brooklyn,Bedford-Stuyvesant,Private room,194.0,30,0
6,725482656106188093,Brooklyn,Bedford-Stuyvesant,Entire home/apt,400.0,30,0
7,681730243323738679,Brooklyn,Bushwick,Private room,79.0,30,14
8,1004979479809147241,Queens,Ridgewood,Private room,45.0,30,0
9,969035784970111373,Brooklyn,Bedford-Stuyvesant,Entire home/apt,225.0,30,5
10,773237631431486588,Brooklyn,Bedford-Stuyvesant,Private room,150.0,30,1
11,818099336473939614,Manhattan,Upper East Side,Entire home/apt,191.0,30,2
12,1097125455525075775,Brooklyn,Downtown Brooklyn,Private room,295.0,1,23
13,760086536368275287,Brooklyn,Williamsburg,Entire home/apt,495.0,30,8
14,1043748746630664860,Manhattan,Upper West Side,Private room,602.0,1,0
15,814741679869275205,Manhattan,Morningside Heights,Private room,149.0,30,1
16,762355634788904537,Brooklyn,Bushwick,Private room,56.0,30,2
17,978191817244397875,Brooklyn,Williamsburg,Entire home/apt,220.0,30,0
63,1005945620349053784,Bronx,Mount Hope,Private room,200.0,30,0
64,1032927026252673202,Brooklyn,East Flatbush,Entire home/apt,71.0,30,1
65,1169735081820698039,Brooklyn,Canarsie,Private room,97.0,30,0
66,14216896,Queens,Springfield Gardens,Entire home/apt,165.0,30,0
67,2999527,Manhattan,Financial District,Entire home/apt,600.0,30,2
68,613045587854720391,Manhattan,Washington Heights,Private room,250.0,30,2
69,47276861,Queens,Ridgewood,Entire home/apt,529.0,30,0
70,31178588,Manhattan,Washington Heights,Private room,125.0,30,12
71,23224129,Bronx,Highbridge,Private room,80.0,30,5
72,880473158416436159,Brooklyn,Flatbush,Entire home/apt,219.0,30,2
73,1203866180302079266,Brooklyn,Crown Heights,Private room,66.0,30,0
74,939431170319588496,Brooklyn,East New York,Entire home/apt,150.0,30,3
75,1139789223673640272,Queens,Maspeth,Private room,35.0,30,0
76,610418835243217843,Manhattan,Inwood,Private room,59.0,30,101
77,973354135681593503,Brooklyn,Cypress Hills,Private room,52.0,30,0
78,54131340,Queens,Rego Park,Entire home/apt,140.0,30,5
79,33937466,Queens,Astoria,Private room,100.0,30,11
80,715501176123029895,Bronx,Concourse,Entire home/apt,124.0,30,0
81,8190747,Queens,Sunnyside,Private room,75.0,30,2
82,948454620122891237,Brooklyn,Crown Heights,Shared room,65.0,30,0
83,1090118807511156994,Queens,Long Island City,Entire home/apt,50.0,30,0
84,32670456,Manhattan,Upper West Side,Entire home/apt,74.0,60,0
85,1051505442588448739,Manhattan,Chelsea,Entire home/apt,322.0,30,0
86,869485537018723078,Brooklyn,Bushwick,Private room,115.0,30,0
87,1220992923841391237,Manhattan,Hell's Kitchen,Private room,99.0,30,0
91,739333866230665371,Brooklyn,Fort Hamilton,Private room,89.0,31,0
92,838141198693830649,Manhattan,East Harlem,Entire home/apt,140.0,120,0
93,1233291236181154722,Brooklyn,Crown Heights,Private room,63.0,30,0
94,796986371882195221,Brooklyn,Bedford-Stuyvesant,Private room,48.0,30,0
95,1233332599257101768,Brooklyn,Crown Heights,Private room,36.0,30,0
96,1203101908839088892,Manhattan,Upper East Side,Entire home/apt,900.0,30,0
97,27454904,Manhattan,Harlem,Entire home/apt,225.0,30,78
98,27883,Manhattan,East Village,Entire home/apt,100.0,30,25
99,13234457,Brooklyn,Bedford-Stuyvesant,Entire home/apt,60.0,30,2
